Size,Iterations,Runtime,Type
100,2000,0.329046,cpu
150,2000,1.207237,cpu
200,2000,3.873093,cpu
250,2000,7.937885,cpu
300,2000,15.080336,cpu
350,2000,22.882012,cpu
400,2000,34.638094,cpu
450,2000,49.792205,cpu
500,2000,66.865418,cpu
550,2000,89.050161,cpu
600,2000,115.254195,cpu
650,2000,145.990921,cpu
700,2000,186.021728,cpu
750,2000,222.491270,cpu
800,2000,268.399134,cpu
850,2000,322.626701,cpu
900,2000,379.592252,cpu
950,2000,450.094072,cpu
1000,2000,524.686671,cpu
