Size,Iterations,Runtime,Type
100,2000,2.586604,cpu
125,2000,4.137919,cpu
150,2000,7.224898,cpu
175,2000,12.547580,cpu
200,2000,18.209610,cpu
225,2000,28.095275,cpu
250,2000,36.898938,cpu
275,2000,47.646090,cpu
300,2000,60.814084,cpu
325,2000,77.864831,cpu
350,2000,97.074988,cpu
375,2000,123.045115,cpu
400,2000,141.355612,cpu
425,2000,169.264120,cpu
450,2000,205.170237,cpu
475,2000,241.181950,cpu
500,2000,281.049554,cpu
