Size,Iterations,Runtime,Type
100,2000,0.401049,cpu
125,2000,0.577526,cpu
150,2000,1.213069,cpu
175,2000,2.854585,cpu
200,2000,3.969436,cpu
225,2000,6.196954,cpu
250,2000,8.197165,cpu
275,2000,10.712799,cpu
300,2000,14.387621,cpu
325,2000,18.458851,cpu
350,2000,23.065480,cpu
375,2000,28.940184,cpu
400,2000,34.954745,cpu
425,2000,42.311395,cpu
450,2000,48.959784,cpu
475,2000,57.922057,cpu
500,2000,67.833998,cpu
